fold,best_threshold,test_accuracy,test_macro_f1,test_b_recall,test_b_f1,test_g_recall,test_g_f1,test_roc_auc
1,0.1250261001748446,0.9859154929577465,0.9847015729368671,0.9615384615384616,0.9803921568627451,1.0,0.989010989010989,0.9982905982905983
2,0.06229320347089984,0.9571428571428572,0.9529042386185244,0.92,0.9387755102040817,0.9777777777777777,0.967032967032967,0.9546666666666667
3,0.18820301961194685,0.9571428571428572,0.9529042386185244,0.92,0.9387755102040817,0.9777777777777777,0.967032967032967,0.9893333333333334
4,0.155448119701876,0.9714285714285714,0.9682971014492754,0.92,0.9583333333333334,1.0,0.9782608695652174,0.9902222222222222
5,0.4419217823589956,0.9,0.895187165775401,0.96,0.8727272727272727,0.8666666666666667,0.9176470588235294,0.9786666666666667
