model,seed,test_accuracy,test_macro_f1,test_f1_g,test_f1_b,test_recall_g,test_recall_b,test_precision_g,test_precision_b,test_roc_auc
RF_iter2,0,0.9436619718309859,0.9370567375886525,0.9574468085106383,0.9166666666666666,0.9782608695652174,0.88,0.9375,0.9565217391304348,0.9778260869565217
RF_iter2,1,0.9436619718309859,0.9370567375886525,0.9574468085106383,0.9166666666666666,0.9782608695652174,0.88,0.9375,0.9565217391304348,0.9721739130434782
RF_iter2,2,0.971830985915493,0.9691304347826086,0.9782608695652174,0.96,0.9782608695652174,0.96,0.9782608695652174,0.96,0.9973913043478261
RF_iter2,3,0.9295774647887324,0.9220978714066272,0.946236559139785,0.8979591836734694,0.9565217391304348,0.88,0.9361702127659575,0.9166666666666666,0.9747826086956521
RF_iter2,4,0.9436619718309859,0.9370567375886525,0.9574468085106383,0.9166666666666666,0.9782608695652174,0.88,0.9375,0.9565217391304348,0.9791304347826087
RF_iter4,0,0.9436619718309859,0.9370567375886525,0.9574468085106383,0.9166666666666666,0.9782608695652174,0.88,0.9375,0.9565217391304348,0.9621739130434782
RF_iter4,1,0.9577464788732394,0.9522956326987682,0.968421052631579,0.9361702127659575,1.0,0.88,0.9387755102040817,1.0,0.971304347826087
RF_iter4,2,0.971830985915493,0.9691304347826086,0.9782608695652174,0.96,0.9782608695652174,0.96,0.9782608695652174,0.96,0.988695652173913
RF_iter4,3,0.9436619718309859,0.9370567375886525,0.9574468085106383,0.9166666666666666,0.9782608695652174,0.88,0.9375,0.9565217391304348,0.9669565217391304
RF_iter4,4,0.9154929577464789,0.9035326086956521,0.9375,0.8695652173913043,0.9782608695652174,0.8,0.9,0.9523809523809523,0.9686956521739131
DT_iter4,0,0.8732394366197183,0.859776168531929,0.9032258064516129,0.8163265306122449,0.9130434782608695,0.8,0.8936170212765957,0.8333333333333334,0.8013043478260871
DT_iter4,1,0.9154929577464789,0.9073913043478261,0.9347826086956522,0.88,0.9347826086956522,0.88,0.9347826086956522,0.88,0.9508695652173913
DT_iter4,2,0.9154929577464789,0.9073913043478261,0.9347826086956522,0.88,0.9347826086956522,0.88,0.9347826086956522,0.88,0.9026086956521739
DT_iter4,3,0.8309859154929577,0.8179487179487179,0.8666666666666667,0.7692307692307693,0.8478260869565217,0.8,0.8863636363636364,0.7407407407407407,0.8226086956521739
DT_iter4,4,0.8732394366197183,0.859776168531929,0.9032258064516129,0.8163265306122449,0.9130434782608695,0.8,0.8936170212765957,0.8333333333333334,0.8452173913043477
LR_iter4,0,0.9154929577464789,0.9035326086956521,0.9375,0.8695652173913043,0.9782608695652174,0.8,0.9,0.9523809523809523,0.9695652173913043
LR_iter4,1,0.9295774647887324,0.9204927211646137,0.9473684210526315,0.8936170212765957,0.9782608695652174,0.84,0.9183673469387755,0.9545454545454546,0.9739130434782608
LR_iter4,2,0.971830985915493,0.9685283687943262,0.9787234042553191,0.9583333333333334,1.0,0.92,0.9583333333333334,1.0,0.9956521739130435
LR_iter4,3,0.9436619718309859,0.9356884057971014,0.9583333333333334,0.9130434782608695,1.0,0.84,0.92,1.0,0.9495652173913043
LR_iter4,4,0.9436619718309859,0.9370567375886525,0.9574468085106383,0.9166666666666666,0.9782608695652174,0.88,0.9375,0.9565217391304348,0.9886956521739131
SVM_iter5,0,0.9154929577464789,0.9035326086956521,0.9375,0.8695652173913043,0.9782608695652174,0.8,0.9,0.9523809523809523,0.9860869565217392
SVM_iter5,1,0.9577464788732394,0.9532587228439764,0.967741935483871,0.9387755102040817,0.9782608695652174,0.92,0.9574468085106383,0.9583333333333334,0.9756521739130435
SVM_iter5,2,0.971830985915493,0.9691304347826086,0.9782608695652174,0.96,0.9782608695652174,0.96,0.9782608695652174,0.96,0.9991304347826087
SVM_iter5,3,0.9577464788732394,0.9522956326987682,0.968421052631579,0.9361702127659575,1.0,0.88,0.9387755102040817,1.0,0.9895652173913043
SVM_iter5,4,0.9577464788732394,0.9532587228439764,0.967741935483871,0.9387755102040817,0.9782608695652174,0.92,0.9574468085106383,0.9583333333333334,0.9860869565217392
AdaBoost_iter4,0,0.9436619718309859,0.9370567375886525,0.9574468085106383,0.9166666666666666,0.9782608695652174,0.88,0.9375,0.9565217391304348,0.9634782608695652
AdaBoost_iter4,1,0.9295774647887324,0.9204927211646137,0.9473684210526315,0.8936170212765957,0.9782608695652174,0.84,0.9183673469387755,0.9545454545454546,0.9582608695652174
AdaBoost_iter4,2,0.9577464788732394,0.9532587228439764,0.967741935483871,0.9387755102040817,0.9782608695652174,0.92,0.9574468085106383,0.9583333333333334,0.9747826086956523
AdaBoost_iter4,3,0.9295774647887324,0.9204927211646137,0.9473684210526315,0.8936170212765957,0.9782608695652174,0.84,0.9183673469387755,0.9545454545454546,0.9730434782608697
AdaBoost_iter4,4,0.9154929577464789,0.9035326086956521,0.9375,0.8695652173913043,0.9782608695652174,0.8,0.9,0.9523809523809523,0.9408695652173913
AdaBoost_th048,0,0.9436619718309859,0.9370567375886525,0.9574468085106383,0.9166666666666666,0.9782608695652174,0.88,0.9375,0.9565217391304348,0.9634782608695652
AdaBoost_th048,1,0.9436619718309859,0.9356884057971014,0.9583333333333334,0.9130434782608695,1.0,0.84,0.92,1.0,0.9582608695652174
AdaBoost_th048,2,0.971830985915493,0.9685283687943262,0.9787234042553191,0.9583333333333334,1.0,0.92,0.9583333333333334,1.0,0.9747826086956523
AdaBoost_th048,3,0.9295774647887324,0.9186712485681557,0.9484536082474226,0.8888888888888888,1.0,0.8,0.9019607843137255,1.0,0.9730434782608697
AdaBoost_th048,4,0.9154929577464789,0.9035326086956521,0.9375,0.8695652173913043,0.9782608695652174,0.8,0.9,0.9523809523809523,0.9408695652173913
